text,language,class,label,source_id,text_proc,n_chars,n_words,rep_unigram,rep_trigram,is_artifact,detected_lang_raw,detected_lang_conf,detected_lang,is_code_switched,split
: Ohun tó ṣẹlẹ̀ sí ọ̀rẹ́ ọ̀rẹ́ mi kan ní òpópónà Akure owo lónìí ni àwọn olùṣọ́ àgùntàn Fulani fi ìbọn pa wọ́n.,Yoruba,0,Not Hate,3471,Ohun tó ṣẹlẹ̀ sí ọ̀rẹ́ ọ̀rẹ́ mi kan ní òpópónà Akure owo lónìí ni àwọn olùṣọ́ àgùntàn Fulani fi ìbọn pa wọ́n.,109,22,0.0454545454545454,0.0,False,yor_Latn,1.0000100135803225,Yoruba,False,train
"A ní ọpọlọpọ awọn lazy obinrin ninu yi wa iran shola, ati ki o wa gidigidi ni ipa lori bi o ti mu jade awọn otitọ wọnyi, ko si bi o ti fi fun a ti ko wulo obinrin o ko le wa ni itẹlọrun, Mo ti ni ibasepọ pẹlu a girl ti o sọ fun mi ko si iye owo to to fun u",Yoruba,2,Hate,620,"A ní ọpọlọpọ awọn lazy obinrin ninu yi wa iran shola, ati ki o wa gidigidi ni ipa lori bi o ti mu jade awọn otitọ wọnyi, ko si bi o ti fi fun a ti ko wulo obinrin o ko le wa ni itẹlọrun, Mo ti ni ibasepọ pẹlu a girl ti o sọ fun mi ko si iye owo to to fun u",256,65,0.0153846153846153,0.0317460317460317,False,yor_Latn,1.0000100135803225,Yoruba,False,train
"Biafra: A kò ní pààrò Biafra fún ""Ìjọba Igbo"": IPOB sọ fún Okorocha àti Iwuanyanwu pé, àwọn ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹ",Yoruba,0,Not Hate,3517,"Biafra: A kò ní pààrò Biafra fún ""Ìjọba Igbo"": IPOB sọ fún Okorocha àti Iwuanyanwu pé, àwọn ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹyẹ ẹ",1225,301,0.9368770764119602,0.939799331103679,True,atg_Latn,0.7424644827842712,Other,True,train
"Nítorí pé a máa ń fi òye sọ̀rọ̀ nípa ohun tó ṣe pàtàkì jù lọ, tí ẹ̀bi sì máa ń mú káwọn èèyàn tọrọ àforíjì nítorí àwọn ohun tó jẹ́ ti ẹ̀yà wa.",Yoruba,2,Hate,2095,"Nítorí pé a máa ń fi òye sọ̀rọ̀ nípa ohun tó ṣe pàtàkì jù lọ, tí ẹ̀bi sì máa ń mú káwọn èèyàn tọrọ àforíjì nítorí àwọn ohun tó jẹ́ ti ẹ̀yà wa.",142,33,0.0,0.0,False,yor_Latn,1.0000100135803225,Yoruba,False,train
Àwọn ará Ásíríà tí ń bẹ níhìn-ín,Yoruba,0,Not Hate,3143,Àwọn ará Ásíríà tí ń bẹ níhìn-ín,32,7,0.0,0.0,False,yor_Latn,1.0000100135803225,Yoruba,False,train
Ti a fi sinu,Yoruba,0,Not Hate,5233,Ti a fi sinu,12,4,0.0,0.0,False,jam_Latn,0.5986016988754272,Other,True,train
"Ní báyìí mo ti mọ ibi tí ìfẹ́ ọkàn yín wà, láti ní orílẹ̀-èdè kan tí wọ́n ṣe ní irú àwọn ọmọ ẹ̀sìn Ìsálómù tí wọ́n ń ṣe ní ààlà.",Yoruba,2,Hate,329,"Ní báyìí mo ti mọ ibi tí ìfẹ́ ọkàn yín wà, láti ní orílẹ̀-èdè kan tí wọ́n ṣe ní irú àwọn ọmọ ẹ̀sìn Ìsálómù tí wọ́n ń ṣe ní ààlà.",128,30,0.0,0.0,False,yor_Latn,1.0000100135803225,Yoruba,False,train
Gbogbo eniyan ni lati wa ni Ashewo fun Ile-iṣẹ abeg... bitch shaming ko si ohun titun!,Yoruba,2,Hate,2869,Gbogbo eniyan ni lati wa ni Ashewo fun Ile-iṣẹ abeg... bitch shaming ko si ohun titun!,86,16,0.0,0.0,False,yor_Latn,0.9999731779098512,Yoruba,False,train
Ẹ fi ẹ̀rù bà á yín.,Yoruba,2,Hate,5763,Ẹ fi ẹ̀rù bà á yín.,19,6,0.0,0.0,False,yor_Latn,1.0000100135803225,Yoruba,False,train
Ẹ̀yìn àtìpó tí ń bẹ láàyè 😭😂😂😂,Yoruba,1,Neutral,1642,Ẹ̀yìn àtìpó tí ń bẹ láàyè 😭😂😂😂,30,7,0.0,0.0,False,yor_Latn,1.0000057220458984,Yoruba,False,train
