source_id,class,label,text
1,2,Hate,What will happen to the tribalists? the nepotist? The despot? The religious bigot? The Lifeless one? The only one that does not read? The man that wants us to accommodate his killer kinsmen called Fulani herdsmen killers?
2,0,Not Hate,Lmaooo them get mind dey share these clown stories? 😂
3,1,Neutral,Mumu dey worry you
4,1,Neutral,I just realised that you are a clown.🤡
5,2,Hate,will reduce by 90% the day DSS start parading arrested Herdsmen Murderers
7,0,Not Hate,: gay or straight rape is rape
8,2,Hate,When thousand of my people die on the north at the result of your people fulani herdsmen you never say anything about now the big fish has been catch you want to use to score your political point idiot. Both the PDP and the APC are the same bird of the same feather nosense.
9,2,Hate,I fear Yoruba people. Outta all the tribes we have in the world they're the most selfish and the most cunning tribe. They support whoever they think will be beneficial to them not considering the future or the condition. As long as its beneficial. Yoruba ronu oh.
10,2,Hate,Women are scum😢
11,0,Not Hate,God can disqualify your enemies to qualify you. God of FRODD did it
13,0,Not Hate,": Everywhere is about Biafra,don’t keep calm enjoy the dedicated support of a large group of freedom lovers around…"
14,1,Neutral,"Mr man there are plenty youths in your shops wasting their time getting controlled by your puppets,(naira bet)you will nor talk to them because they are the ones putting money in your pocket... in 3D LINK"
16,0,Not Hate,Women that leave there kids one kilometers behind when walking. What's their aim in this life?
17,2,Hate,Lazy Nigerian youth🙄
18,2,Hate,Forget the useless aboki..as if the North is a monolithic society..indigenous Christians and Muslims in the North are 50/50 .but they have used all sorts of religious banditry to silence those ones. Bigotry is there main weapon. Alamajiris are there foot soldiers. Bastard
19,1,Neutral,Must be a fool!sh politician to have really thought that.
20,2,Hate,It has been known and proven that most Hausa people are dumb! You’re very dumb! Very very
21,1,Neutral,Did I beg u to follow me.. Y not block me with concrete.. Ewu hausa.. Fulani cow.. Better block ur life out from here
22,0,Not Hate,LINK
23,2,Hate,"All Diz hoe nd bitches be acting like ""We Run The Town"""
25,0,Not Hate,No region is as tolerant as the North. You see Yorubas/Igbo living comfortably in every part of the North while the crimes of a few herdsmen affects every Northerner living in the southern Nigeria This has to stop. is LINK
27,2,Hate,"Wallahi if u equate lesbians &amp; homosexuals 2 animals lyk pig then u r not being fair 2 animals, even animals don't hv desire 4 the same sex!"
29,1,Neutral,Black Americans are the worst LINK
31,0,Not Hate,sodebaba Second man arrested over rape of Indian child: Suspect detained in eastern state of Bihar in connecti... LINK
33,0,Not Hate,lols
34,1,Neutral,"Very sickening to know that the father gave consent.I really appreciate the bros making the video,he is actually doing this to stop the bullshit,not like those who would wait till tins get worse and then video it for clout! Poor child! LINK"
35,0,Not Hate,Half a yellow sun is out in theaters &amp; the war never ended honour Hero's pls Starved kids
36,2,Hate,"I wish I ave seen dis book b4 now MEN LOVE bitches# single or in a relationship,go get it Ladies.Gud Goons"
37,0,Not Hate,: The NASS should also go ahead to put down a law that ban open grazing across Nigeria by 2026. While the Southern States…
38,1,Neutral,Little grls still fall for looks and swag bitches fall for money but a grown woman falls for stability and security....
39,1,Neutral,The Government ordered the Nigerian military to kill its own citizens Unarmed protesters fighting for their right Oh what a shame! BUHARI Shame on you and your Regime. You have failed this Nation LINK
40,0,Not Hate,You're in a contemplative mood today and there's really not mu... More for Cancer LINK
