text,language,class,label,source_id,text_proc,n_chars,n_words,rep_unigram,rep_trigram,is_artifact,detected_lang_raw,detected_lang_conf,detected_lang,is_code_switched,split
What will happen to the tribalists? the nepotist? The despot? The religious bigot? The Lifeless one? The only one that does not read? The man that wants us to accommodate his killer kinsmen called Fulani herdsmen killers?,English,2,Hate,1,What will happen to the tribalists? the nepotist? The despot? The religious bigot? The Lifeless one? The only one that does not read? The man that wants us to accommodate his killer kinsmen called Fulani herdsmen killers?,221,37,0.0,0.0,False,eng_Latn,0.9994961023330688,English,False,train
Lmaooo them get mind dey share these clown stories? 😂,English,0,Not Hate,2,Lmaooo them get mind dey share these clown stories? 😂,53,10,0.0,0.0,False,pcm_Latn,0.5061835646629333,Other,True,train
Mumu dey worry you,English,1,Neutral,3,Mumu dey worry you,18,4,0.0,0.0,False,abz_Latn,0.8725647926330566,Other,True,train
I just realised that you are a clown.🤡,English,1,Neutral,4,I just realised that you are a clown.🤡,38,8,0.0,0.0,False,eng_Latn,0.9993535876274108,English,False,train
will reduce by 90% the day DSS start parading arrested Herdsmen Murderers,English,2,Hate,5,will reduce by 90% the day DSS start parading arrested Herdsmen Murderers,73,12,0.0,0.0,False,eng_Latn,0.9971650838851928,English,False,train
: gay or straight rape is rape,English,0,Not Hate,7,gay or straight rape is rape,28,6,0.0,0.0,False,eng_Latn,0.956741988658905,English,False,train
When thousand of my people die on the north at the result of your people fulani herdsmen you never say anything about now the big fish has been catch you want to use to score your political point idiot. Both the PDP and the APC are the same bird of the same feather nosense.,English,2,Hate,8,When thousand of my people die on the north at the result of your people fulani herdsmen you never say anything about now the big fish has been catch you want to use to score your political point idiot. Both the PDP and the APC are the same bird of the same feather nosense.,274,54,0.0,0.0,False,eng_Latn,0.9950745701789856,English,False,train
I fear Yoruba people. Outta all the tribes we have in the world they're the most selfish and the most cunning tribe. They support whoever they think will be beneficial to them not considering the future or the condition. As long as its beneficial. Yoruba ronu oh.,English,2,Hate,9,I fear Yoruba people. Outta all the tribes we have in the world they're the most selfish and the most cunning tribe. They support whoever they think will be beneficial to them not considering the future or the condition. As long as its beneficial. Yoruba ronu oh.,263,47,0.0,0.0,False,eng_Latn,0.9859540462493896,English,False,train
Women are scum😢,English,2,Hate,10,Women are scum😢,15,3,0.0,0.0,False,eng_Latn,0.9976215362548828,English,False,train
God can disqualify your enemies to qualify you. God of FRODD did it,English,0,Not Hate,11,God can disqualify your enemies to qualify you. God of FRODD did it,67,13,0.0,0.0,False,eng_Latn,0.9968537092208862,English,False,train
": Everywhere is about Biafra,don’t keep calm enjoy the dedicated support of a large group of freedom lovers around…",English,0,Not Hate,13,"Everywhere is about Biafra,don’t keep calm enjoy the dedicated support of a large group of freedom lovers around…",113,18,0.0,0.0,False,eng_Latn,0.9972432255744934,English,False,train
"Mr man there are plenty youths in your shops wasting their time getting controlled by your puppets,(naira bet)you will nor talk to them because they are the ones putting money in your pocket... in 3D LINK",English,1,Neutral,14,"Mr man there are plenty youths in your shops wasting their time getting controlled by your puppets,(naira bet)you will nor talk to them because they are the ones putting money in your pocket... in 3D",199,35,0.0,0.0,False,eng_Latn,0.9776789546012878,English,False,train
Women that leave there kids one kilometers behind when walking. What's their aim in this life?,English,0,Not Hate,16,Women that leave there kids one kilometers behind when walking. What's their aim in this life?,94,16,0.0,0.0,False,eng_Latn,0.9957979321479796,English,False,train
Lazy Nigerian youth🙄,English,2,Hate,17,Lazy Nigerian youth🙄,20,3,0.0,0.0,False,eng_Latn,0.4509511291980743,English,False,train
Forget the useless aboki..as if the North is a monolithic society..indigenous Christians and Muslims in the North are 50/50 .but they have used all sorts of religious banditry to silence those ones. Bigotry is there main weapon. Alamajiris are there foot soldiers. Bastard,English,2,Hate,18,Forget the useless aboki..as if the North is a monolithic society..indigenous Christians and Muslims in the North are 50/50 .but they have used all sorts of religious banditry to silence those ones. Bigotry is there main weapon. Alamajiris are there foot soldiers. Bastard,272,43,0.0,0.0,False,eng_Latn,0.9959949254989624,English,False,train
Must be a fool!sh politician to have really thought that.,English,1,Neutral,19,Must be a fool!sh politician to have really thought that.,57,10,0.0,0.0,False,eng_Latn,0.9999063014984132,English,False,train
It has been known and proven that most Hausa people are dumb! You’re very dumb! Very very,English,2,Hate,20,It has been known and proven that most Hausa people are dumb! You’re very dumb! Very very,89,17,0.0,0.0,False,eng_Latn,0.999898076057434,English,False,train
Did I beg u to follow me.. Y not block me with concrete.. Ewu hausa.. Fulani cow.. Better block ur life out from here,English,1,Neutral,21,Did I beg u to follow me.. Y not block me with concrete.. Ewu hausa.. Fulani cow.. Better block ur life out from here,117,24,0.0,0.0,False,eng_Latn,0.9200035929679872,English,False,train
LINK,English,0,Not Hate,22,,0,0,0.0,0.0,False,unknown,0.0,Other,True,train
