text,language,class,label,source_id,text_proc,n_chars,n_words,rep_unigram,rep_trigram,is_artifact,detected_lang_raw,detected_lang_conf,detected_lang,is_code_switched,split
Twitter m bụ nnọọ a bitch,Igbo,1,Neutral,3080,Twitter m bụ nnọọ a bitch,25,6,0.0,0.0,False,ibo_Latn,1.0000044107437134,Igbo,False,train
"Ọ bụrụ na ị na-eme ihe ndị a , ị ga-ahụ na ị na-eme ihe ndị a na-eme n'oge na-adịghị anya .",Igbo,2,Hate,2364,"Ọ bụrụ na ị na-eme ihe ndị a , ị ga-ahụ na ị na-eme ihe ndị a na-eme n'oge na-adịghị anya .",91,22,0.0,0.4,False,ibo_Latn,1.0000100135803225,Igbo,False,train
: Otu ebo Naịjirịa nwere ọnụ ọgụgụ kasị elu nke Ndị Kraịst? Igbo !,Igbo,0,Not Hate,282,Otu ebo Naịjirịa nwere ọnụ ọgụgụ kasị elu nke Ndị Kraịst? Igbo !,64,13,0.0,0.0,False,ibo_Latn,0.9999406337738036,Igbo,False,train
Ọ bụrụ na ị gaghị nyochaa ihe niile Kemi kwuru ma gaa n'ihu ọha na-ekwu okwu ụgha ya mgbe ahụ ị bụ a worm. Otunba a nwụrụ site Ulcer na ọ bụghị Coro dị ka nwaanyị a crazy chọrọ ka ndị mmadụ kwere.,Igbo,1,Neutral,4185,Ọ bụrụ na ị gaghị nyochaa ihe niile Kemi kwuru ma gaa n'ihu ọha na-ekwu okwu ụgha ya mgbe ahụ ị bụ a worm. Otunba a nwụrụ site Ulcer na ọ bụghị Coro dị ka nwaanyị a crazy chọrọ ka ndị mmadụ kwere.,196,43,0.0,0.0,False,ibo_Latn,1.0000098943710327,Igbo,False,train
Ịtụgharị uche bụ mma agha nwere ihu abụọ. Ọ na-agbasa ụzọ abụọ. Kwuo okwu n'ezie. Ma egbula ihe niile na-eji nnukwu brush stroke maka mpụ ma ọ bụ ezughị okè nke ole na ole. ọ dịghị onye na-emeri!,Igbo,0,Not Hate,2316,Ịtụgharị uche bụ mma agha nwere ihu abụọ. Ọ na-agbasa ụzọ abụọ. Kwuo okwu n'ezie. Ma egbula ihe niile na-eji nnukwu brush stroke maka mpụ ma ọ bụ ezughị okè nke ole na ole. ọ dịghị onye na-emeri!,195,38,0.0,0.0,False,ibo_Latn,1.0000098943710327,Igbo,False,train
"Ma ọ dịkarịa ala, o nwere ihe na-enweghị isi dị ka onye nta akụkọ Sahara iji gbasaa ịkpọasị.",Igbo,2,Hate,658,"Ma ọ dịkarịa ala, o nwere ihe na-enweghị isi dị ka onye nta akụkọ Sahara iji gbasaa ịkpọasị.",92,18,0.0,0.0,False,ibo_Latn,1.0000096559524536,Igbo,False,train
Chineke!!!! Ọ bụrụ na nwa agbọghọ a enye m ìhè na-acha akwụkwọ ndụ m na-ehichapụ m niile m nwaanyị kọntaktị 😭😭😂😂😂,Igbo,0,Not Hate,843,Chineke!!!! Ọ bụrụ na nwa agbọghọ a enye m ìhè na-acha akwụkwọ ndụ m na-ehichapụ m niile m nwaanyị kọntaktị 😭😭😂😂😂,113,21,0.0,0.0,False,ibo_Latn,1.0000081062316897,Igbo,False,train
"Ihere na - eme gị , ndị iberiibe .",Igbo,1,Neutral,6028,"Ihere na - eme gị , ndị iberiibe .",34,9,0.0,0.0,False,ibo_Latn,1.0000100135803225,Igbo,False,train
Ọ na-agha ụgha ọtụtụ ugboro ma na-achọta mmejọ n'ihe niile na-adịghị n'ụzọ ya. O boro ọbụna Arbery igbu onwe ya na mgbe ahụ insinuated George kwesịrị nwụrụ dị ka ewu n'ihi na o nwere gara aga mpụ ndụ.,Igbo,1,Neutral,4469,Ọ na-agha ụgha ọtụtụ ugboro ma na-achọta mmejọ n'ihe niile na-adịghị n'ụzọ ya. O boro ọbụna Arbery igbu onwe ya na mgbe ahụ insinuated George kwesịrị nwụrụ dị ka ewu n'ihi na o nwere gara aga mpụ ndụ.,200,38,0.0,0.0,False,ibo_Latn,1.0000098943710327,Igbo,False,train
Ụgbọala ndị na-agba ọsọ na-amasị m,Igbo,0,Not Hate,4003,Ụgbọala ndị na-agba ọsọ na-amasị m,34,6,0.0,0.0,False,ibo_Latn,1.000009536743164,Igbo,False,train
