text,language,class,label,source_id
Guy you are wicked 🤣🤣 Even a mad woman gets at least one toaster every week na,English,1,Neutral,0
What will happen to the tribalists? the nepotist? The despot? The religious bigot? The Lifeless one? The only one that does not read? The man that wants us to accommodate his killer kinsmen called Fulani herdsmen killers?,English,2,Hate,1
Lmaooo them get mind dey share these clown stories? 😂,English,0,Not Hate,2
: Ohun tó ṣẹlẹ̀ sí ọ̀rẹ́ ọ̀rẹ́ mi kan ní òpópónà Akure owo lónìí ni àwọn olùṣọ́ àgùntàn Fulani fi ìbọn pa wọ́n.,Yoruba,0,Not Hate,3471
Twitter m bụ nnọọ a bitch,Igbo,1,Neutral,3080
"*Da yawa mafi girma da nono, mafi karami da kwakwalwa *..............buck wannan bitch da aka ƙalubalanci wannan",Hausa,2,Hate,2459
"A ní ọpọlọpọ awọn lazy obinrin ninu yi wa iran shola, ati ki o wa gidigidi ni ipa lori bi o ti mu jade awọn otitọ wọnyi, ko si bi o ti fi fun a ti ko wulo obinrin o ko le wa ni itẹlọrun, Mo ti ni ibasepọ pẹlu a girl ti o sọ fun mi ko si iye owo to to fun u",Yoruba,2,Hate,620
Mumu dey worry you,English,1,Neutral,3
I just realised that you are a clown.🤡,English,1,Neutral,4
"Ọ bụrụ na ị na-eme ihe ndị a , ị ga-ahụ na ị na-eme ihe ndị a na-eme n'oge na-adịghị anya .",Igbo,2,Hate,2364
: Otu ebo Naịjirịa nwere ọnụ ọgụgụ kasị elu nke Ndị Kraịst? Igbo !,Igbo,0,Not Hate,282
will reduce by 90% the day DSS start parading arrested Herdsmen Murderers,English,2,Hate,5
"yeye oge!! Eyi gaju! Luv dat top of urs, u luk fabulous&amp;cute in it",English,0,Not Hate,6
: gay or straight rape is rape,English,0,Not Hate,7
When thousand of my people die on the north at the result of your people fulani herdsmen you never say anything about now the big fish has been catch you want to use to score your political point idiot. Both the PDP and the APC are the same bird of the same feather nosense.,English,2,Hate,8
"Ẹ jẹ́ kí n rán yín létí ìdìbò ọdún 2011, ẹ lọ wo ohun tí Buhari sọ nígbà tó ń bá àwùjọ àwọn Fulanis sọ̀rọ̀, nígbà tó sọ pé bí òun kò bá ṣẹ́gun, ó ti di àgbékalè, nígbà tí àgbékalè, ẹ̀jẹ̀ àgbékalè àti àwọn ajá yóò sì ṣàn, tí àwọn ẹ̀mí aláìmọ́ràn yóò sì ti di asán, ọkùnrin àti obìnrin,",Yoruba,0,Not Hate,2309
I fear Yoruba people. Outta all the tribes we have in the world they're the most selfish and the most cunning tribe. They support whoever they think will be beneficial to them not considering the future or the condition. As long as its beneficial. Yoruba ronu oh.,English,2,Hate,9
"Gaskiya ne, mutane Fulani marasa laifi, wawaye, wataƙila ubansa da mahaifiyarsa ne suka aikata waɗannan laifuffukan.",Hausa,2,Hate,505
Ka bar tawagarmu ba mu son ka ..,Hausa,0,Not Hate,4581
"Ta kasance wata yarinya ba, don haka me kuke tsammani, mutane da suka sanya addini a kan duk abin da wasu ciki har da su rayu da su 'yan adam, btw wanda ya damu da ita Epp, ta yi baff?",Hausa,2,Hate,4598
Labarin 'yan Adam shine labarin maza da mata da suka sayar da kansu gajere - Abraham Maslow.,Hausa,0,Not Hate,2024
Ọ bụrụ na ị gaghị nyochaa ihe niile Kemi kwuru ma gaa n'ihu ọha na-ekwu okwu ụgha ya mgbe ahụ ị bụ a worm. Otunba a nwụrụ site Ulcer na ọ bụghị Coro dị ka nwaanyị a crazy chọrọ ka ndị mmadụ kwere.,Igbo,1,Neutral,4185
"Ya ku Arewa Twitter, Naga Hausa na yanzu na zamani Duk wanda yah zagi yaranmu nah Hausa kuh cimasa uwa.",Hausa,1,Neutral,364
Ịtụgharị uche bụ mma agha nwere ihu abụọ. Ọ na-agbasa ụzọ abụọ. Kwuo okwu n'ezie. Ma egbula ihe niile na-eji nnukwu brush stroke maka mpụ ma ọ bụ ezughị okè nke ole na ole. ọ dịghị onye na-emeri!,Igbo,0,Not Hate,2316
Guardiola na farko da Manchester City ta sanya hannu shi ne Ilkay Gundogan LINK,Hausa,0,Not Hate,3076
