language,class,label,text,your_review,suggested_label
English,0,Not Hate,: I want to make some pride themed jewelry bc the lgbtq+ community exist outside pride months and awareness days.,,
English,0,Not Hate,""" : : People who are different are beautiful. Those who follow society are boring.",,
English,0,Not Hate,"dear brother, Agbatan laa ngba ole, the struggle you must be concluded. Igangan and Yewa ketu in Ogun state people are still under attacks by the Fulani herdsmen. Please don't abandoned your people. We count and trust even more our so called Governor and politicians.",,
English,1,Neutral,My first look at that nigger is death. I'm gonna kill you nigger you don't deserve the penitentiary.,,
English,1,Neutral,"Fool, y re u spitting u pregnant goat?",,
English,1,Neutral,Girl sounds like a moron..,,
English,2,Hate,"Oponu aiye, anyone bearing Ibrahim is an Hausa/Fulani, uncivilized bastard.",,
English,2,Hate,Vlut = A virgin that acts like a slut.,,
English,2,Hate,Why speaking hausa? Evil blood.,,
Yoruba,0,Not Hate,1APP HITS 30K Users. O ṣeun si gbogbo wa Olugbo ati sùúrù onibara. A nifẹ nyin gbogbo.,,
Yoruba,0,Not Hate,"Nítorí náà, obìnrin kan tó ń dá ọkọ rẹ̀ dúró, tó ń ta ohun ìní ìyá rẹ̀, tó ń fún un ní owó àti owó oṣù fún ọdún mélòó kan, tó sì ń sọ pé kò sí ohun tó ń ṣe fún un mọ́ nítorí pé ó kọ́ láti rí iṣẹ́ kan láti ṣe ojúṣe rẹ̀, tó sì ń tẹ̀ lé àwọn àlá rẹ̀, ó mú kó ṣe ohun tí kò tọ́.",,
Yoruba,0,Not Hate,Fatanmu kenan ai... mu gama Lafiya se kuma a bar ma yan baya...,,
Yoruba,1,Neutral,Àwọn ọ̀rọ̀ ìrọ̀lẹ́ àti ọ̀rọ̀ èébú kan lè mú kí ẹ̀mí mímọ́ tó wà nínú rẹ di èyí tí kò ṣeé ṣe fún ẹ tó o bá mọ ohun tó o máa ṣe.,,
Yoruba,1,Neutral,"Ẹ lọ bá ògbógi aláṣẹ náà, ẹ sọ fún un pé kó lọ tún ìwé mímọ́ náà ṣe, ẹ sọ̀rọ̀ òmùgọ̀ nípa èyí tó lè pa orílẹ̀-èdè run.",,
Yoruba,1,Neutral,Oloshi ẹja ẹja ẹja ẹja ẹja ẹja ẹja ogun ni o wa,,
Yoruba,2,Hate,Gbogbo obìnrin ló ní ẹ̀yà méjì. Ojúṣe rẹ ni láti mọ̀ bóyá ó jẹ́ ìbálòpọ̀ tàbí kò ní láárí.,,
Yoruba,2,Hate,Ìbẹ̀rù Ọlọ́run ti padà sí White House.Trump ni D ÌRÒÒÒ àti ìdájọ́ yóò dé2Biafran..Òbọn BritishIslamicNigeria kò lè dá DONALD dúró..BiafraOut.. LINK,,
Yoruba,2,Hate,"Ó ṣeni láàánú pé àwọn ará gúúsù, tí wọ́n ti ní gbogbo ìkọ́lé wọn, ti di aláṣeyọrí nínú ètò ìṣèlú, tí wọ́n jẹ́ òmùgọ̀, tí wọn ò sì mọ ohun tó yẹ kí wọ́n ṣe, tí wọn ò sì fọkàn tán wọn tàbí tí wọn ò fi mọyì wọn.",,
Igbo,0,Not Hate,Ọ bụkwa nwoke nwere mmasị nwoke,,
Igbo,0,Not Hate,O nwere ike ị ga-ahụ ihe o meere anyị n'anya. O hapụrụ anyị ndị Yoruba n'ọnọdụ siri ike. O nwere ọtụtụ ndụ ya n'Ogun steeti.,,
Igbo,0,Not Hate,Nibo🤣🤣🤣 LINK,,
Igbo,1,Neutral,"Bawan Allah ị kwesịrị ịdị na-akpa àgwà dị ka nwoke, lee otú ị na-akpa àgwà dị ka nwaanyị, kana yin abubuwan da ko cikin mata ma sae sakarkarun mata keyi..... kuma a haka kake so ka ja da maza? Aeko ka makaro LINK",,
Igbo,1,Neutral,"Buhari na-emefu ego ọha na eze na ndị agbụrụ na-eme ihe ike na igbu ọchụ na-akpọ ha ndị ọzụzụ atụrụ na-echegharị, ndị ohi, ISWAP na B...",,
Igbo,1,Neutral,lol😂😂 ara we we dey anyị na-ahụ steady na nkịtị ụbọchị gịnị mere gị ara mkpa retweet.........o na-akpa ọchị😂,,
Igbo,2,Hate,"Ọ bụrụ na ị maara otú FG na-agbachitere ha fulani ndị megide Gov. Akeredolu na Ondo State? Gịnị mere ụfọdụ Yoruba ndị na-enweghị uche na ụjọ fgs, na-agbalị ịbụ ndọrọ ndọrọ ọchịchị ziri ezi mgbe ndị ndọrọ ndọrọ ọchịchị na-adịghị ọbụna na-arụ ọrụ",,
Igbo,2,Hate,"Igbo, Hausa na Yoruba bụ ụmụ ahụhụ na-enwetụbeghị ihe ọ bụla na-enweghị onye nke ọzọ.",,
Igbo,2,Hate,"Mgbe ahụ, m na-eche na ị kwesịrị izute d hausas"": Have u met d ebiras"": Yoruba ndị mmadụ kwa Dị ka mkpọtụ tah""""",,
