text,language,class,label,source_id,text_proc,n_chars,n_words,rep_unigram,rep_trigram,is_artifact,detected_lang_raw,detected_lang_conf,detected_lang,is_code_switched
Guy you are wicked 🤣🤣 Even a mad woman gets at least one toaster every week na,English,1,Neutral,0,Guy you are wicked 🤣🤣 Even a mad woman gets at least one toaster every week na,78,17,0.0,0.0,False,eng_Latn,0.9510551691055298,English,False
What will happen to the tribalists? the nepotist? The despot? The religious bigot? The Lifeless one? The only one that does not read? The man that wants us to accommodate his killer kinsmen called Fulani herdsmen killers?,English,2,Hate,1,What will happen to the tribalists? the nepotist? The despot? The religious bigot? The Lifeless one? The only one that does not read? The man that wants us to accommodate his killer kinsmen called Fulani herdsmen killers?,221,37,0.0,0.0,False,eng_Latn,0.9994961023330688,English,False
Lmaooo them get mind dey share these clown stories? 😂,English,0,Not Hate,2,Lmaooo them get mind dey share these clown stories? 😂,53,10,0.0,0.0,False,pcm_Latn,0.5061835646629333,Other,True
: Ohun tó ṣẹlẹ̀ sí ọ̀rẹ́ ọ̀rẹ́ mi kan ní òpópónà Akure owo lónìí ni àwọn olùṣọ́ àgùntàn Fulani fi ìbọn pa wọ́n.,Yoruba,0,Not Hate,3471,Ohun tó ṣẹlẹ̀ sí ọ̀rẹ́ ọ̀rẹ́ mi kan ní òpópónà Akure owo lónìí ni àwọn olùṣọ́ àgùntàn Fulani fi ìbọn pa wọ́n.,109,22,0.045454545454545456,0.0,False,yor_Latn,1.0000100135803223,Yoruba,False
Twitter m bụ nnọọ a bitch,Igbo,1,Neutral,3080,Twitter m bụ nnọọ a bitch,25,6,0.0,0.0,False,ibo_Latn,1.0000044107437134,Igbo,False
"*Da yawa mafi girma da nono, mafi karami da kwakwalwa *..............buck wannan bitch da aka ƙalubalanci wannan",Hausa,2,Hate,2459,"*Da yawa mafi girma da nono, mafi karami da kwakwalwa *..............buck wannan bitch da aka ƙalubalanci wannan",112,17,0.0,0.0,False,hau_Latn,0.99994957447052,Hausa,False
"A ní ọpọlọpọ awọn lazy obinrin ninu yi wa iran shola, ati ki o wa gidigidi ni ipa lori bi o ti mu jade awọn otitọ wọnyi, ko si bi o ti fi fun a ti ko wulo obinrin o ko le wa ni itẹlọrun, Mo ti ni ibasepọ pẹlu a girl ti o sọ fun mi ko si iye owo to to fun u",Yoruba,2,Hate,620,"A ní ọpọlọpọ awọn lazy obinrin ninu yi wa iran shola, ati ki o wa gidigidi ni ipa lori bi o ti mu jade awọn otitọ wọnyi, ko si bi o ti fi fun a ti ko wulo obinrin o ko le wa ni itẹlọrun, Mo ti ni ibasepọ pẹlu a girl ti o sọ fun mi ko si iye owo to to fun u",256,65,0.015384615384615385,0.031746031746031744,False,yor_Latn,1.0000100135803223,Yoruba,False
Mumu dey worry you,English,1,Neutral,3,Mumu dey worry you,18,4,0.0,0.0,False,abz_Latn,0.8725647926330566,Other,True
I just realised that you are a clown.🤡,English,1,Neutral,4,I just realised that you are a clown.🤡,38,8,0.0,0.0,False,eng_Latn,0.9993535876274109,English,False
"Ọ bụrụ na ị na-eme ihe ndị a , ị ga-ahụ na ị na-eme ihe ndị a na-eme n'oge na-adịghị anya .",Igbo,2,Hate,2364,"Ọ bụrụ na ị na-eme ihe ndị a , ị ga-ahụ na ị na-eme ihe ndị a na-eme n'oge na-adịghị anya .",91,22,0.0,0.4,False,ibo_Latn,1.0000100135803223,Igbo,False
: Otu ebo Naịjirịa nwere ọnụ ọgụgụ kasị elu nke Ndị Kraịst? Igbo !,Igbo,0,Not Hate,282,Otu ebo Naịjirịa nwere ọnụ ọgụgụ kasị elu nke Ndị Kraịst? Igbo !,64,13,0.0,0.0,False,ibo_Latn,0.9999406337738037,Igbo,False
will reduce by 90% the day DSS start parading arrested Herdsmen Murderers,English,2,Hate,5,will reduce by 90% the day DSS start parading arrested Herdsmen Murderers,73,12,0.0,0.0,False,eng_Latn,0.9971650838851929,English,False
"yeye oge!! Eyi gaju! Luv dat top of urs, u luk fabulous&amp;cute in it",English,0,Not Hate,6,"yeye oge!! Eyi gaju! Luv dat top of urs, u luk fabulous&amp;cute in it",70,14,0.0,0.0,False,uzn_Latn,0.2207859456539154,Other,True
: gay or straight rape is rape,English,0,Not Hate,7,gay or straight rape is rape,28,6,0.0,0.0,False,eng_Latn,0.956741988658905,English,False
When thousand of my people die on the north at the result of your people fulani herdsmen you never say anything about now the big fish has been catch you want to use to score your political point idiot. Both the PDP and the APC are the same bird of the same feather nosense.,English,2,Hate,8,When thousand of my people die on the north at the result of your people fulani herdsmen you never say anything about now the big fish has been catch you want to use to score your political point idiot. Both the PDP and the APC are the same bird of the same feather nosense.,274,54,0.0,0.0,False,eng_Latn,0.9950745701789856,English,False
"Ẹ jẹ́ kí n rán yín létí ìdìbò ọdún 2011, ẹ lọ wo ohun tí Buhari sọ nígbà tó ń bá àwùjọ àwọn Fulanis sọ̀rọ̀, nígbà tó sọ pé bí òun kò bá ṣẹ́gun, ó ti di àgbékalè, nígbà tí àgbékalè, ẹ̀jẹ̀ àgbékalè àti àwọn ajá yóò sì ṣàn, tí àwọn ẹ̀mí aláìmọ́ràn yóò sì ti di asán, ọkùnrin àti obìnrin,",Yoruba,0,Not Hate,2309,"Ẹ jẹ́ kí n rán yín létí ìdìbò ọdún 2011, ẹ lọ wo ohun tí Buhari sọ nígbà tó ń bá àwùjọ àwọn Fulanis sọ̀rọ̀, nígbà tó sọ pé bí òun kò bá ṣẹ́gun, ó ti di àgbékalè, nígbà tí àgbékalè, ẹ̀jẹ̀ àgbékalè àti àwọn ajá yóò sì ṣàn, tí àwọn ẹ̀mí aláìmọ́ràn yóò sì ti di asán, ọkùnrin àti obìnrin,",284,61,0.0,0.0,False,yor_Latn,1.0000100135803223,Yoruba,False
I fear Yoruba people. Outta all the tribes we have in the world they're the most selfish and the most cunning tribe. They support whoever they think will be beneficial to them not considering the future or the condition. As long as its beneficial. Yoruba ronu oh.,English,2,Hate,9,I fear Yoruba people. Outta all the tribes we have in the world they're the most selfish and the most cunning tribe. They support whoever they think will be beneficial to them not considering the future or the condition. As long as its beneficial. Yoruba ronu oh.,263,47,0.0,0.0,False,eng_Latn,0.9859540462493896,English,False
"Gaskiya ne, mutane Fulani marasa laifi, wawaye, wataƙila ubansa da mahaifiyarsa ne suka aikata waɗannan laifuffukan.",Hausa,2,Hate,505,"Gaskiya ne, mutane Fulani marasa laifi, wawaye, wataƙila ubansa da mahaifiyarsa ne suka aikata waɗannan laifuffukan.",116,16,0.0,0.0,False,hau_Latn,1.0000057220458984,Hausa,False
Ka bar tawagarmu ba mu son ka ..,Hausa,0,Not Hate,4581,Ka bar tawagarmu ba mu son ka ..,32,8,0.0,0.0,False,hau_Latn,0.9998599290847778,Hausa,False
"Ta kasance wata yarinya ba, don haka me kuke tsammani, mutane da suka sanya addini a kan duk abin da wasu ciki har da su rayu da su 'yan adam, btw wanda ya damu da ita Epp, ta yi baff?",Hausa,2,Hate,4598,"Ta kasance wata yarinya ba, don haka me kuke tsammani, mutane da suka sanya addini a kan duk abin da wasu ciki har da su rayu da su 'yan adam, btw wanda ya damu da ita Epp, ta yi baff?",184,40,0.0,0.0,False,hau_Latn,1.000000238418579,Hausa,False
